17:45:07.919550 config: drop-rate=0.00, max-delay=0s, seed=1543272307919550300
17:46:04.756473 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:05.757439 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:06.757898 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:07.758372 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:08.758837 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:09.759316 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:10.759782 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:11.760258 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:12.760735 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:13.761200 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:14.761676 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:15.762144 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:16.762609 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:17.763076 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:18.763546 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:19.764027 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:20.764496 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:21.764971 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:22.765510 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:23.765977 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:24.767204 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:25.768201 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:26.768669 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:27.769135 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:28.769770 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:29.770240 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:30.770703 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:31.771171 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:32.771647 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:33.772149 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:34.772623 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:35.773089 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:36.773556 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:37.774027 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:38.774496 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:39.774962 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:40.775440 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:41.775904 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:42.776377 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:43.776852 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
